,parent_company_name,total_air_pollutants_kg
0,1ST AYD CORP,0.0
1,3 SIGMA LLC,5409.0846
2,31 INC,0.0
3,3A COMPOSITES USA INC,976.9918088
4,3D PLASTICS INC,0.0
5,3G MERMET,0.0
6,3M CO,780034.53751848
7,3P HOLDINGS INC,16737.10481576
8,3V SIGMA USA,69125.88856622399
9,4 GUYS INC,0.0
10,400 ROBINSON FANS,1.360776
11,4FRONT SOLUTIONS,0.6259569599999999
12,77 LEICESTER STREET LLC,0.0
13,8TH AVE FOOD & PROVISIONS,6959.915648
14,A & B ALUMINUM & BRASS FOUNDRY,25.854744
15,A & E INC,0.0
16,A & L SHIELDING INC,0.0
17,A CUBED CORP,3955.9799484000005
18,A G SIMPSON AUTOMOTIVE INC,4.632988687999999
19,A MARK PRECIOUS METALS INC,0.0
20,A O SMITH CORP,37829.9356736
21,A P NONWEILER CO INC,8783.355488
22,A R WILFLEY & SONS INC,0.5942055199999999
23,A RAYMOND TINNERMAN MANUFACTURING INC,115.66596
24,A SCHULMAN INC,40082.56426399999
25,A STUCKI HOLDING CORP,5.003119760000001
26,A TEICHERT & SON INC,0.196858928
27,A TO Z DRYING INC,0.0
28,A Y MC DONALD INDUSTRIES INC,56.7897184
29,A ZAHNER CO,0.0
30,A&A ELECTRONICS ASSEMBLY,0.0
31,A&B DIE CASTING,0.7484268
32,A&B FILLING,1.13398
33,A-1 FIBERGLASS,44391.615689280006
34,A-BRITE LP,8.164656
35,A-DEC INC,0.0
36,A-GAS US HOLDINGS INC,13637.24348
37,A-LINE EDS,0.0
38,A. STUCKI CO,2443.953696
39,A. STUCKI HOLDING CORP,0.0
40,A.O. SMITH CORP,4.53592
41,AAF MCQUAY GROUP INC,255.19539512
42,AAH ACQUISITION LLC,0.0
43,AALBERTS INDUSTRIES,109.7239048
44,AALBERTS SURFACE TREATMENT,0.0
45,AAON INC,15118.10342608
46,AAR CORP,43160.639576
47,AARHUSKARLSHAMN USA,4.72642864
48,AARROWCAST INC,122.35644199999999
49,AB MAURI FOOD INC,0.0
50,ABACO SYSTEMS HOLDING CORP,0.140159928
51,ABB ENTERPRISE SOFTWARE INC,0.0
52,ABB HOLDINGS INC,2976.3981292800004
53,ABB INC,30671.220240934872
54,ABB INC.,4.6266384
55,ABBEY COLOR INC,0.0
56,ABBOTT BALL CO INC,0.0
57,ABBOTT LABORATORIES,31950.62131904
58,ABBVIE INC,22194.007537992
59,ABC COMPOUNDING CO INC,115.66596
60,ABC COMPOUNDING CO OF TEXAS INC,366.502336
61,ABC INDUSTRIES INC,18990.39565048
62,ABC INOAC EXTERIOR SYSTEMS LLC,77880.3076515352
63,ABELCONN LLC,1.9050864
64,ABERDEEN ROAD CO,0.0
65,ABF NORTHAMERICA INC,0.06350288000000001
66,ABG OPERATING LLC,101964.760048
67,ABH ENTERPRISES INC,0.216363384
68,ABINGTON RELDAN METALS LLC,115.32123008
69,ABLE DIE CASTING CORP,63.50288
70,ABLE ELECTROPOLISHING CO INC,12298.103818399999
71,ABLE MANUFACTURING & ASSEMBLY LLC,45381.32168184
72,ABLE STEEL FABRICATORS INC,14.061352
73,ABRASIVE FINISHING INC,1.4061352
74,ABSOLUTE ENERGY LLC,10114.13544904
75,ABT INC,226.796
76,AC FOUNDRY INC,0.0
77,AC POLYMERS INC,3982.53776
78,AC&S INC,1423.4351988800001
79,ACADIAN CONTRACTORS INC,8103.42108
80,ACCEL INTERNATIONAL HOLDINGS INC,0.0
81,ACCENT MARBLE CO INC,288.03092
82,ACCU  LABS INC,0.0
83,ACCUMA CORP,0.0
84,ACCURATE CASTINGS INC,41.730464
85,ACCURATE ENGINEERING CORP,0.0
86,ACCURATE THREADED FASTNERS,0.0
87,ACCURIDE CORP,559.278936
88,ACCURUS AEROSPACE LLC,0.0
89,ACCUTEC BLADES INC,218.63134399999998
90,ACE ANODIZING & IMPREGNATING INC,503.033528
91,ACE CHEMICAL PRODUCTS INC,0.0
92,ACE CLEARWATER ENTERPRISES INC,0.002229858272
93,ACE COMPLETIONS LLC,0.1440608192
94,ACE ELASTOMER,0.0
95,ACE ETHANOL LLC,6850.146384000001
96,ACE GALVANIZING INC,680.388
97,ACE MANUFACTURING & PARTS CO,0.0
98,ACE POLE CO INC,0.0
99,ACE PRECISION,0.0
100,ACE PRECISION MACHINING CORP,0.41730464
101,ACF INDUSTRIES LLC,30.51313384
102,ACHILLES USA INC,1187.050264
103,ACID PRODUCTS CO INC,4.6266384
104,ACME ALLIANCE LLC,0.0
105,ACME CRYOGENICS INC,0.0
106,ACME ENVIRONMENTAL,0.0
107,ACME FINISHING CO LLC,7663.43684
108,ACME FOUNDRY INC,261.15559400000006
109,ACME GALVANIZING INC,1730.907072
110,ACME HOLDINGS INC,2397.15660936
111,ACME MACHINE AUTOMATICS INC,0.0
112,ACME WOOD PRESERVING INC,340.194
113,ACO INC,1226.059176
114,ACO INC.,2034.813712
115,ACPRODUCTS INC,55722.651384656005
116,ACPRODUCTS INC.,115139.79328
117,ACROW CORP,40.4150472
118,ACS TECHNICAL PRODUCTS INC,7898.851088
119,ACTAGRO LLC,11.3624796
120,ACTAVIS INC,174.179328
121,ACTEGA NA INC,0.0
122,ACTION MANUFACTURING CO,0.0
123,ACTION PETROLEUM CO LTD,0.0
124,ACTIVE MAGNETIC INSPECTION INC,0.0
125,ACTON TECHNOLOGIES INC,13.607759999999999
126,ACUITY BRANDS LIGHTING,169.55268959999998
127,ACUMENT GLOBAL TECHNOLOGIES N.A.,105.686936
128,ACUMENT GLOBAL TECHNOLOGIES NA,79.3786
129,ACUPOWDER INTERNATIONAL LLC,229.86228192
130,ACUSHNET HOLDINGS CORP,1666.9506000000001
131,ACVENVIRO CC HOLDING CORP,0.0
132,ADA CARBON SOLUTIONS LLC,13295.053675199993
133,ADAC PLASTICS INC,436.88620663999995
134,ADAMS CO,0.0
135,ADAMS RESOURCES & ENERGY INC,1531.856387456
136,ADARE PHARMACEUTICALS INC,1142.031258
137,ADCO CIRCUITS,0.0
138,ADCO GLOBAL INC,4702.7511376
139,ADDED VALUE TECHNOLOGY LLC,0.10886208
140,ADE-WIFCO STEEL PRODUCTS INC,10.432616
141,ADELL PLASTICS,0.0
142,ADEPT PLASTIC FINISHING INC,117.5710464
143,ADEPT PLASTIC FINISHING PLANT #4,37.150545576
144,ADEPT PLASTIC FINISHING PLANT #5,34.075645408
145,ADHESIVE COATING TECHNOLOGIES INC,1263.25372
146,ADHESIVES APPLICATIONS INC,1686.001464
147,ADHESIVES RESEARCH INC,7512.844296
148,ADIENT US LLC,126.098576
149,ADITYA BIRLA GROUP,18964.9990344
150,ADJUVANTS UNLIMITED- #3507,22084.940888
151,ADKINS ENERGY LLC,4230.56640152
152,ADM,86730.419136
153,ADMIXTURES INC,0.0
154,ADRIAN STEEL CO,17.327214400000003
155,ADRON INC,185.519128
156,ADVANCE BRONZE INC,558.3944316
157,ADVANCE CIRCUIT TECHNOLOGY INC,0.0
158,ADVANCE COATINGS CO,1925.0444479999999
159,ADVANCE CORP,4.53592
160,ADVANCE ENERGY TECHNOLOGIES INC,0.0
161,ADVANCE RESEARCH CHEMICALS INC,342.46196
162,ADVANCED ADHESIVE SYSTEMS INC,56.245408
163,ADVANCED AIRFOIL COMPONENTS,46.2437044
164,ADVANCED ARCHITECTURAL PRODUCTS,7329.5931279999995
165,ADVANCED ATOMIZATION TECHNOLOGIES LLC,0.0
166,ADVANCED BEARING MATERIALS LLC,33.565808
167,ADVANCED CENTRIFUGALS LTD,0.0
168,ADVANCED CHEMICAL CO,9.525431999999999
169,ADVANCED CHEMICAL LOGISTICS,6.8038799999999995
170,ADVANCED CIRCUITS INC,0.0
171,ADVANCED ELECTRONICS INC,5.946591120000001
172,ADVANCED ENERGY INDUSTRIES INC,0.0
173,ADVANCED FIBERMOLDING INC,16479.450952
174,ADVANCED FLEXIBLE COMPOSITES INC,5481.65932
175,ADVANCED HEAT TREAT CORP,7976.868912000001
176,ADVANCED LIGHTING TECHNOLOGIES INC,0.48987936000000004
177,ADVANCED LUBRICATION SPECIALTIES,0.0
178,ADVANCED MARINE PERFORMANCE LLC,2729.1269864
179,ADVANCED MICRONUTRIENT PRODUCTS INC,3223.6783440000004
180,ADVANCED PLATING TECHNOLOGIES,7533.63695328
181,ADVANCED POLYMER TECHNOLOGY,0.0
182,ADVANCED RADIATION CORP,0.0
183,ADVANCED RESEARCH CHEMICALS INC,0.0
184,ADVANCED STEEL TECHNOLOGY,15.349553280000002
185,ADVANCED SURFACE TECHNOLOGIES INC,489.425768
186,ADVANSIX INC,447578.4768444799
187,ADVANSIX RESINS & CHEMICALS LLC,63348.333494536
188,ADVANTAGE METAL POWDERS INC,13.607759999999999
189,ADVANTAGE SINTERED METALS INC,0.0
190,ADVICS N.A. INC,548.84632
191,AEES INC,0.0
192,AEI LLC,10875.775384
193,AERO METALS INC,78.471416
194,AERO STRUCTURES LONG ISLAND INC,1.814368
195,AEROCISION LLC,0.0
196,AERODYNAMICS INC,0.0
197,AEROFIL TECHNOLOGY INC,1827.068576
198,AEROJET ROCKETDYNE HOLDINGS,84881.00661807999
199,AEROSPACE MANUFACTURING TECHNOLOGIES,0.0
200,AERVOE INDUSTRIES INC,926.0715708799999
201,AES CORP,223989.82828328456
202,AEXCEL CORP,5067.076232
203,AFCO INDUSTRIES INC,1394.1830508
204,AFCO STEEL,289.49148624000003
205,AFCO STEEL LLC,287.38228344000004
206,AFETA CAMP PEARY,25.401152
207,AFFIVAL INC,115.66596
208,AFGLOBAL CORP,106.23805028
209,AFINITAS INC.,13.525659848
210,AFTON CHEMICAL ADDITIVES CORP,244.032496
211,AFTON CHEMICAL CORP,2164.3913386399995
212,AG GROWTH INTERNATIONAL,9.525432
213,AG LAYNE INC,524.5337887999999
214,AG PROCESSING INC,910585.9674291166
215,AGC FLAT GLASS N.A. INC,11.3398
216,AGC FLAT GLASS NA INC,2.26796
217,AGC GLASS CO N.A.,2.8122704
218,AGC NELCO AMERICA,277.598304
219,AGC-GREENLAND FLATGLASS PLANT,113.398
220,AGCO CORP,7286.82847424
221,AGCO INC,6456.45574352
222,AGEAN MARBLE MFG INC,1669.21856
223,AGGREGATE INDUSTRIES MANAGEMENT INC,4.3789771680000005
224,AGGREGATE INDUSTRIES MANAGEMENT INC.,0.574247472
225,AGILENT TECHNOLOGIES INC,7462.1327104
226,AGILEX FLAVORS & FRAGRANCES,0.0
227,AGILITY MANUFACTURING INC,0.0
228,AGILYX,24.493968
229,AGRAFORM,462.66383999999994
230,AGRATI MEDINA LLC,0.0
231,AGRATI PARK FOREST  LLC,0.0
232,AGRATI TIFFIN LLC,0.0
233,AGRATI VALPARAISO LLC,0.0
234,AGRI STAR MEAT & POULTRY LLC,231.33192
235,AGRI-KING INC,0.0
236,AGRI-MARK INC,22.6796
237,AGRIBEEF CO,1.0886208
238,AGRITEK INDUSTRIES INC,6.8038799999999995
239,AGRIUM INC,351.5337999999999
240,AGRIUM US INC,495272.4476879286
241,AGROCHEM INC,816.919192
242,AGROPUR INC,3.175144
243,AGY HOLDING CO,69147.67821872
244,AHF LLC,5.402280719999999
245,AHF PRODUCTS - WITT PLANT,5.0348711999999995
246,AHF PRODUCTS LLC,12.283271359999999
247,AHLSTROM,135194.909968
248,AHLSTROM MUNKSJO NA SPECIALTY SOLUTIONS LLC,525571.5487655316
249,AHLSTROM USA INC,21472.591688
250,AHLSTROM-MUNKSJO N.A. SPECIALTY SOLUTIONS,0.4082328
251,AHLSTROM-MUNKSJO NORTH AMERICAN SPECIALTY SOLUTIONS LLC,37510.489221745265
252,AHLSTROM-MUNKSJO USA INC,329448.859112
253,AHRESTY WILMINGTON CORP,109.315672
254,AICHI FORGE USA INC,0.0
255,AIKITEC,0.0
256,AIPCF V,2267.052816
257,AIR LIQUIDE AMERICA,170.95882479999997
258,AIR LIQUIDE LARGE INDUSTRIES US,0.0
259,AIR LIQUIDE LARGE INDUSTRIES US LP,12575.8382
260,AIR PRODUCTS & CHEMICALS INC,114403.66875686478
261,AIR PRODUCTS & CHEMICALS INC.,2200.828384
262,AIRBORN INC,5.539719096
263,AIRBUS US MANUFACTURING FACILITY,2071.562375064
264,AIRCRAFT PLATING CORP,0.0
265,AIRCRAFT PRECISION PRODUCTS INC,9.07184
266,AIRCRAFT X-RAY LABORATORIES INC,83.91452
267,AIRGAS INC,17715.942744
268,AIRGAS USA LLC,15316.896334290399
269,AIRGAS WEST PHOENIX,2.26796
270,AIRMAR TECHNOLOGY CORP,0.0
271,AISAN INDUSTRY CO LTD,7.606737839999999
272,AISIN CHEMICAL INDIANA LLC,690.820616
273,AISIN HOLDINGS OF AMERICA,10522.365073896002
274,AISIN HOLDINGS OF AMERICA INC,122.21129256
275,AJ MAES DBA SANDIA MARBLE,2662.1314479999996
